Stadsdeldsområde,Månad,12 kap. Skadegörelsebrott,3 kap. Brott mot liv och hälsa,3-7 kap. Brott mot person,6 kap. Sexualbrott,"8 kap. Stöld, rån m.m.",9 kap. Bedrägeri och annan oredlighet,Alkohollagen,Brott mot narkotikastrafflagen,Totalt antal brott,Vapenlagen,därav biltillgrepp,därav inbrottsstöld i bostad,därav misshandel inkl. grov,"därav rån, inkl. grovt"
Bromma,Jan,264,43,158,13,237,143,1,30,924,5,5,18,38,1
Bromma,Feb,247,29,113,3,174,125,0,35,784,1,4,10,28,4
Bromma,Mar,291,43,160,15,233,132,0,80,1001,3,8,13,41,1
Bromma,Apr,244,54,171,6,210,93,0,75,867,5,5,7,48,0
Bromma,Maj,222,59,236,33,232,71,1,57,942,6,8,8,50,4
Bromma,Jun,253,48,165,28,232,123,0,36,903,6,2,15,43,2
Bromma,Jul,242,51,179,13,203,85,0,30,802,2,4,7,46,3
Bromma,Aug,253,42,187,32,219,116,1,39,909,7,2,14,36,1
Bromma,Sep,254,42,161,26,223,119,0,62,948,2,1,24,36,1
Bromma,Okt,462,49,157,15,248,121,1,49,1145,5,1,5,45,1
Bromma,Nov,321,50,149,15,180,84,1,71,949,6,0,15,47,1
Bromma,Dec,236,44,140,11,162,157,1,47,815,1,2,29,43,0
Hägersten-Älvsjö,Jan,397,90,284,17,251,176,0,70,1311,8,6,10,84,7
Hägersten-Älvsjö,Feb,334,64,222,22,223,232,0,84,1253,5,11,4,61,5
Hägersten-Älvsjö,Mar,428,110,316,15,310,207,0,78,1495,13,2,7,107,7
Hägersten-Älvsjö,Apr,474,71,244,22,300,229,4,127,1524,4,1,4,64,5
Hägersten-Älvsjö,Maj,481,103,416,121,336,301,1,134,1820,5,6,6,100,5
Hägersten-Älvsjö,Jun,510,91,285,13,311,184,0,86,1508,4,4,6,86,4
Hägersten-Älvsjö,Jul,572,77,234,28,325,238,1,91,1592,9,4,10,72,4
Hägersten-Älvsjö,Aug,761,86,269,23,391,203,0,92,1847,6,6,9,80,7
Hägersten-Älvsjö,Sep,1036,90,339,34,404,200,0,105,2220,4,8,13,85,3
Hägersten-Älvsjö,Okt,994,84,267,19,382,165,1,85,2061,6,7,10,76,1
Hägersten-Älvsjö,Nov,697,91,291,33,312,162,0,70,1674,5,7,9,85,2
Hägersten-Älvsjö,Dec,520,106,309,12,294,149,0,97,1500,8,2,9,95,5
