,Stadsdeldsområde,Totalt antal brott,År
0,Bromma,924,2024
1,Bromma,784,2024
2,Bromma,1001,2024
3,Bromma,867,2024
4,Bromma,942,2024
5,Bromma,903,2024
6,Bromma,802,2024
7,Bromma,909,2024
8,Bromma,948,2024
9,Bromma,1145,2024
10,Bromma,949,2024
11,Bromma,815,2024
12,Hägersten-Älvsjö,1311,2024
13,Hägersten-Älvsjö,1253,2024
14,Hägersten-Älvsjö,1495,2024
15,Hägersten-Älvsjö,1524,2024
16,Hägersten-Älvsjö,1820,2024
17,Hägersten-Älvsjö,1508,2024
18,Hägersten-Älvsjö,1592,2024
19,Hägersten-Älvsjö,1847,2024
20,Hägersten-Älvsjö,2220,2024
21,Hägersten-Älvsjö,2061,2024
22,Hägersten-Älvsjö,1674,2024
23,Hägersten-Älvsjö,1500,2024
24,Bromma,924,2025
25,Bromma,784,2025
26,Bromma,1001,2025
27,Bromma,867,2025
28,Bromma,942,2025
29,Bromma,903,2025
30,Bromma,802,2025
31,Bromma,909,2025
32,Bromma,948,2025
33,Bromma,1145,2025
34,Bromma,949,2025
35,Bromma,815,2025
36,Hägersten-Älvsjö,1311,2025
37,Hägersten-Älvsjö,1253,2025
38,Hägersten-Älvsjö,1495,2025
39,Hägersten-Älvsjö,1524,2025
40,Hägersten-Älvsjö,1820,2025
41,Hägersten-Älvsjö,1508,2025
42,Hägersten-Älvsjö,1592,2025
43,Hägersten-Älvsjö,1847,2025
44,Hägersten-Älvsjö,2220,2025
45,Hägersten-Älvsjö,2061,2025
46,Hägersten-Älvsjö,1674,2025
47,Hägersten-Älvsjö,1500,2025
48,Bromma,772,2026
49,Bromma,614,2026
50,Bromma,809,2026
51,Hägersten-Älvsjö,1413,2026
52,Hägersten-Älvsjö,1286,2026
53,Hägersten-Älvsjö,1656,2026
