Region,ContentsCode,Tid,value,Typ,Fastighetstyp
Riket,Medelpris i tkr,2021,2785,Bostäder (BRF),
Riket,Medelpris i tkr,2022,2771,Bostäder (BRF),
Riket,Medelpris i tkr,2023,2704,Bostäder (BRF),
Riket,Medelpris i tkr,2024,2821,Bostäder (BRF),
Stor-Stockholm,Medelpris i tkr,2021,4088,Bostäder (BRF),
Stor-Stockholm,Medelpris i tkr,2022,4121,Bostäder (BRF),
Stor-Stockholm,Medelpris i tkr,2023,4037,Bostäder (BRF),
Stor-Stockholm,Medelpris i tkr,2024,4206,Bostäder (BRF),
Riket,"Köpeskilling, medelvärde i tkr",2021,3793,Småhus,permanentbostad (ej tomträtt)
Riket,"Köpeskilling, medelvärde i tkr",2022,3915,Småhus,permanentbostad (ej tomträtt)
Riket,"Köpeskilling, medelvärde i tkr",2023,3577,Småhus,permanentbostad (ej tomträtt)
Riket,"Köpeskilling, medelvärde i tkr",2024,3758,Småhus,permanentbostad (ej tomträtt)
Stockholm,"Köpeskilling, medelvärde i tkr",2021,8598,Småhus,permanentbostad (ej tomträtt)
Stockholm,"Köpeskilling, medelvärde i tkr",2022,8688,Småhus,permanentbostad (ej tomträtt)
Stockholm,"Köpeskilling, medelvärde i tkr",2023,8285,Småhus,permanentbostad (ej tomträtt)
Stockholm,"Köpeskilling, medelvärde i tkr",2024,8597,Småhus,permanentbostad (ej tomträtt)
Riket,"Köpeskilling, medelvärde i tkr",2021,2441,Fritidshus,
Riket,"Köpeskilling, medelvärde i tkr",2022,2398,Fritidshus,
Riket,"Köpeskilling, medelvärde i tkr",2023,2276,Fritidshus,
Riket,"Köpeskilling, medelvärde i tkr",2024,2463,Fritidshus,
Stockholms län,"Köpeskilling, medelvärde i tkr",2021,4750,Fritidshus,
Stockholms län,"Köpeskilling, medelvärde i tkr",2022,4446,Fritidshus,
Stockholms län,"Köpeskilling, medelvärde i tkr",2023,4321,Fritidshus,
Stockholms län,"Köpeskilling, medelvärde i tkr",2024,4495,Fritidshus,
